funding_time_ms,funding_time,funding_rate
1621987200000,2021-05-26T00:00:00+00:00,2.284e-05
1622016000000,2021-05-26T08:00:00+00:00,0.0001
1622044800001,2021-05-26T16:00:00.001000+00:00,0.0001
1622073600003,2021-05-27T00:00:00.003000+00:00,-0.00029789
1622102400015,2021-05-27T08:00:00.015000+00:00,-0.00025069
1622131200008,2021-05-27T16:00:00.008000+00:00,0.0001
1622160000004,2021-05-28T00:00:00.004000+00:00,-3.778e-05
1622188800002,2021-05-28T08:00:00.002000+00:00,-0.00011235
1622217600004,2021-05-28T16:00:00.004000+00:00,-7.13e-05
1622246400015,2021-05-29T00:00:00.015000+00:00,-1.201e-05
1622275200000,2021-05-29T08:00:00+00:00,0.0001
1622304000007,2021-05-29T16:00:00.007000+00:00,0.0001
1622332800000,2021-05-30T00:00:00+00:00,3.62e-05
1622361600002,2021-05-30T08:00:00.002000+00:00,-7.722e-05
1622390400002,2021-05-30T16:00:00.002000+00:00,0.0001
1622419200000,2021-05-31T00:00:00+00:00,0.0001
1622448000006,2021-05-31T08:00:00.006000+00:00,-0.0001824
1622476800002,2021-05-31T16:00:00.002000+00:00,0.0001
